"","IdLandkreis","Meldedatum","gemeldete Fallzahl des Tages","Laufender Tagesdurchschnitt der vergangenen 7 Tage"
"325",9672,"2022-05-20",38,88.8571428571429
"326",9673,"2022-05-20",51,67.8571428571429
"327",9675,"2022-05-20",32,40.2857142857143
"328",9676,"2022-05-20",39,69
"329",9677,"2022-05-20",72,56.2857142857143
"330",9678,"2022-05-20",19,41
"331",9679,"2022-05-20",63,101.285714285714
"332",9761,"2022-05-20",31,121.428571428571
"333",9762,"2022-05-20",5,33.7142857142857
"334",9763,"2022-05-20",3,26.8571428571429
"335",9771,"2022-05-20",47,115.857142857143
"336",9772,"2022-05-20",115,183.428571428571
"337",9773,"2022-05-20",44,80
"338",9774,"2022-05-20",27,58.1428571428571
"339",9775,"2022-05-20",40,100.428571428571
"340",9776,"2022-05-20",32,55.1428571428571
"341",9777,"2022-05-20",49,127
"342",9778,"2022-05-20",32,86
"343",9779,"2022-05-20",60,125.285714285714
"344",9780,"2022-05-20",8,69.1428571428571
"345",10041,"2022-05-20",99,175.714285714286
"346",10042,"2022-05-20",31,51.2857142857143
"347",10043,"2022-05-20",42,57.5714285714286
"348",10044,"2022-05-20",85,103.285714285714
"349",10045,"2022-05-20",53,63.7142857142857
"350",10046,"2022-05-20",71,56.5714285714286
"351",11001,"2022-05-20",149,129.714285714286
"352",11002,"2022-05-20",72,94.2857142857143
"353",11003,"2022-05-20",136,186
"354",11004,"2022-05-20",81,110.857142857143
"355",11005,"2022-05-20",42,89.1428571428571
"356",11006,"2022-05-20",58,106.571428571429
"357",11007,"2022-05-20",96,157.714285714286
"358",11008,"2022-05-20",46,64.8571428571429
"359",11009,"2022-05-20",61,79.4285714285714
"360",11010,"2022-05-20",86,390.428571428571
"361",11011,"2022-05-20",241,314.285714285714
"362",11012,"2022-05-20",91,73.8571428571429
"363",12051,"2022-05-20",26,30.5714285714286
"364",12052,"2022-05-20",27,46.7142857142857
"365",12053,"2022-05-20",15,23.4285714285714
"366",12054,"2022-05-20",50,77
"367",12060,"2022-05-20",31,61.8571428571429
"368",12061,"2022-05-20",63,78
"369",12062,"2022-05-20",21,33
"370",12063,"2022-05-20",4,30.4285714285714
"371",12064,"2022-05-20",13,50
"372",12065,"2022-05-20",62,102.714285714286
"373",12066,"2022-05-20",11,23.4285714285714
"374",12067,"2022-05-20",21,70.8571428571429
"375",12068,"2022-05-20",32,38.5714285714286
"376",12069,"2022-05-20",9,101.428571428571
"377",12070,"2022-05-20",20,31
"378",12072,"2022-05-20",32,45.7142857142857
"379",12073,"2022-05-20",9,32.2857142857143
"380",13003,"2022-05-20",154,114.285714285714
"381",13004,"2022-05-20",33,48
"382",13071,"2022-05-20",70,68.5714285714286
"383",13072,"2022-05-20",76,95.4285714285714
"384",13073,"2022-05-20",59,90.7142857142857
"385",13074,"2022-05-20",79,110
"386",13075,"2022-05-20",62,82.4285714285714
"387",13076,"2022-05-20",86,125.714285714286
"388",14511,"2022-05-20",53,92
"389",14521,"2022-05-20",37,71.5714285714286
"390",14523,"2022-05-20",29,51
"391",14524,"2022-05-20",20,56.8571428571429
"392",14612,"2022-05-20",21,174.285714285714
"393",14626,"2022-05-20",27,31.8571428571429
"394",14627,"2022-05-20",6,56.8571428571429
"395",14628,"2022-05-20",28,80.1428571428571
"396",14713,"2022-05-20",151,211.571428571429
"397",14729,"2022-05-20",44,100.857142857143
"398",14730,"2022-05-20",46,67.5714285714286
"399",15001,"2022-05-20",17,29
"400",15002,"2022-05-20",115,124.714285714286
"401",15003,"2022-05-20",63,115.285714285714
"402",15081,"2022-05-20",23,41.4285714285714
"403",15082,"2022-05-20",2,43.5714285714286
"404",15083,"2022-05-20",17,74.2857142857143
"405",15084,"2022-05-20",19,54.8571428571429
"406",15085,"2022-05-20",62,129.285714285714
"407",15086,"2022-05-20",7,34.1428571428571
"408",15087,"2022-05-20",21,49.1428571428571
"409",15088,"2022-05-20",34,63
"410",15089,"2022-05-20",42,71.8571428571429
"411",15090,"2022-05-20",10,37
"412",15091,"2022-05-20",29,31.5714285714286
"413",16051,"2022-05-20",31,47.5714285714286
"414",16052,"2022-05-20",30,33.2857142857143
