"","Meldedatum","gemeldete Fallzahl des Tages","Laufender Tagesdurchschnitt der vergangenen 7 Tage"
"486","2021-01-30",9940,11282.5714285714
"487","2021-01-29",12575,11515.7142857143
"488","2021-01-28",13366,11866.4285714286
"489","2021-01-27",15816,12358.1428571429
"490","2021-01-26",15512,12882.7142857143
"491","2021-01-25",6749,13304.1428571429
"492","2021-01-24",5020,13649.2857142857
"493","2021-01-23",11572,13874.2857142857
"494","2021-01-22",15030,14139.5714285714
"495","2021-01-21",16808,14606.5714285714
"496","2021-01-20",19488,15120.5714285714
"497","2021-01-19",18462,15779.5714285714
"498","2021-01-18",9165,16369
"499","2021-01-17",6595,16986.2857142857
"500","2021-01-16",13429,17254.8571428571
"501","2021-01-15",18299,17716
"502","2021-01-14",20406,18606.8571428571
"503","2021-01-13",24101,19420.7142857143
"504","2021-01-12",22588,19973
"505","2021-01-11",13486,20666.2857142857
"506","2021-01-10",8475,20783.8571428571
"507","2021-01-09",16657,20835.4285714286
"508","2021-01-08",24535,19887.1428571429
"509","2021-01-07",26103,17849.2857142857
"510","2021-01-06",27967,16918.4285714286
"511","2021-01-05",27441,17359.4285714286
"512","2021-01-04",14309,17377.8571428571
"513","2021-01-03",8836,17581.8571428571
"514","2021-01-02",10019,17720.5714285714
"515","2021-01-01",10270,17938.1428571429
"516","2020-12-31",19587,18349.7142857143
"517","2020-12-30",31054,18571
"518","2020-12-29",27570,18987.5714285714
"519","2020-12-28",15737,19189
"520","2020-12-27",9807,19840.7142857143
"521","2020-12-26",11542,20425.1428571429
"522","2020-12-25",13151,21875.8571428571
"523","2020-12-24",21136,24249.2857142857
"524","2020-12-23",33970,25794.8571428571
"525","2020-12-22",28980,25422
"526","2020-12-21",20299,25128.8571428571
"527","2020-12-20",13898,24954
"528","2020-12-19",21697,24754.7142857143
"529","2020-12-18",29765,24599.1428571429
"530","2020-12-17",31955,24240.4285714286
"531","2020-12-16",31360,23824.1428571429
"532","2020-12-15",26928,23292.5714285714
"533","2020-12-14",19075,22702.5714285714
"534","2020-12-13",12503,22329.5714285714
"535","2020-12-12",20608,22005.8571428571
"536","2020-12-11",27254,21308.5714285714
"537","2020-12-10",29041,20594.7142857143
"538","2020-12-09",27639,19935.4285714286
"539","2020-12-08",22798,19301.7142857143
"540","2020-12-07",16464,18790.5714285714
"541","2020-12-06",10237,18337.8571428571
"542","2020-12-05",15727,18130.4285714286
"543","2020-12-04",22257,18018
"544","2020-12-03",24426,17715
"545","2020-12-02",23203,17476.8571428571
"546","2020-12-01",19220,17312.4285714286
"547","2020-11-30",13295,17338.8571428571
"548","2020-11-29",8785,17593.2857142857
"549","2020-11-28",14940,17598.8571428571
"550","2020-11-27",20136,17574.7142857143
"551","2020-11-26",22759,17882.7142857143
"552","2020-11-25",22052,18026
"553","2020-11-24",19405,18261
"554","2020-11-23",15076,18396.4285714286
"555","2020-11-22",8824,18341.8571428571
"556","2020-11-21",14771,18345.2857142857
"557","2020-11-20",22292,18491.7142857143
"558","2020-11-19",23762,18360.4285714286
"559","2020-11-18",23697,18324.5714285714
"560","2020-11-17",20353,18183.2857142857
"561","2020-11-16",14694,18077
"562","2020-11-15",8848,18261.8571428571
"563","2020-11-14",15796,18445.8571428571
"564","2020-11-13",21373,18464.8571428571
"565","2020-11-12",23511,18494.7142857143
"566","2020-11-11",22708,18319
"567","2020-11-10",19609,18103.4285714286
"568","2020-11-09",15988,18067.4285714286
"569","2020-11-08",10136,17963
"570","2020-11-07",15929,18018.5714285714
"571","2020-11-06",21582,17742.8571428571
"572","2020-11-05",22281,17432.7142857143
"573","2020-11-04",21199,17085.7142857143
"574","2020-11-03",19357,16806.8571428571
"575","2020-11-02",15257,16319.1428571429
"576","2020-11-01",10525,15857.5714285714
"577","2020-10-31",13999,15418.7142857143
"578","2020-10-30",19411,15004.7142857143
"579","2020-10-29",19852,14237.1428571429
"580","2020-10-28",19247,13391.5714285714
"581","2020-10-27",15943,12415
"582","2020-10-26",12026,11488.1428571429
"583","2020-10-25",7453,10697.4285714286
"584","2020-10-24",11101,10158.2857142857
"585","2020-10-23",14038,9385
"586","2020-10-22",13933,8519.14285714286
"587","2020-10-21",12411,7658.14285714286
"588","2020-10-20",9455,6920.71428571429
"589","2020-10-19",6491,6336.71428571429
"590","2020-10-18",3679,6008
"591","2020-10-17",5688,5806.85714285714
"592","2020-10-16",7977,5512.71428571429
"593","2020-10-15",7906,5096.57142857143
"594","2020-10-14",7249,4633.85714285714
"595","2020-10-13",5367,4240.57142857143
"596","2020-10-12",4190,3986.71428571429
"597","2020-10-11",2271,3732.71428571429
"598","2020-10-10",3629,3573.28571428571
"599","2020-10-09",5064,3368.85714285714
"600","2020-10-08",4667,3063.14285714286
"601","2020-10-07",4496,2814.28571428571
"602","2020-10-06",3590,2563
"603","2020-10-05",2412,2359.42857142857
"604","2020-10-04",1155,2276.71428571429
"605","2020-10-03",2198,2236.42857142857
"606","2020-10-02",2924,2177.42857142857
"607","2020-10-01",2925,2093.28571428571
"608","2020-09-30",2737,2017.14285714286
"609","2020-09-29",2165,1942.28571428571
"610","2020-09-28",1833,1892.28571428571
"611","2020-09-27",873,1867.14285714286
"612","2020-09-26",1785,1841
"613","2020-09-25",2335,1784.85714285714
"614","2020-09-24",2392,1761.14285714286
"615","2020-09-23",2213,1756.14285714286
"616","2020-09-22",1815,1753.28571428571
"617","2020-09-21",1657,1780.14285714286
"618","2020-09-20",690,1756
"619","2020-09-19",1392,1766.28571428571
"620","2020-09-18",2169,1742.14285714286
"621","2020-09-17",2357,1668
"622","2020-09-16",2193,1558.28571428571
"623","2020-09-15",2003,1494.28571428571
"624","2020-09-14",1488,1405.42857142857
"625","2020-09-13",762,1394.71428571429
"626","2020-09-12",1223,1368.85714285714
"627","2020-09-11",1650,1352.14285714286
"628","2020-09-10",1589,1329.85714285714
"629","2020-09-09",1745,1319.57142857143
"630","2020-09-08",1381,1271.85714285714
"631","2020-09-07",1413,1263.57142857143
"632","2020-09-06",581,1231
"633","2020-09-05",1106,1224.71428571429
"634","2020-09-04",1494,1185.85714285714
"635","2020-09-03",1517,1171
"636","2020-09-02",1411,1174.71428571429
"637","2020-09-01",1323,1204.28571428571
"638","2020-08-31",1185,1227.57142857143
"639","2020-08-30",537,1262
"640","2020-08-29",834,1266
"641","2020-08-28",1390,1278.14285714286
"642","2020-08-27",1543,1316.14285714286
"643","2020-08-26",1618,1327.14285714286
"644","2020-08-25",1486,1346.57142857143
"645","2020-08-24",1426,1353.28571428571
"646","2020-08-23",565,1370.85714285714
"647","2020-08-22",919,1360.71428571429
"648","2020-08-21",1656,1337.42857142857
"649","2020-08-20",1620,1297.42857142857
"650","2020-08-19",1754,1279
"651","2020-08-18",1533,1248.57142857143
"652","2020-08-17",1549,1200
"653","2020-08-16",494,1136.42857142857
"654","2020-08-15",756,1111.71428571429
"655","2020-08-14",1376,1105.14285714286
"656","2020-08-13",1491,1052.28571428571
"657","2020-08-12",1541,1006.42857142857
"658","2020-08-11",1193,945.142857142857
"659","2020-08-10",1104,910.428571428571
"660","2020-08-09",321,866.857142857143
"661","2020-08-08",710,864.571428571429
"662","2020-08-07",1006,843.285714285714
"663","2020-08-06",1170,830.142857142857
"664","2020-08-05",1112,786.428571428571
"665","2020-08-04",950,757.857142857143
"666","2020-08-03",799,730.142857142857
"667","2020-08-02",305,691.571428571429
"668","2020-08-01",561,678.142857142857
"669","2020-07-31",914,675.571428571429
"670","2020-07-30",864,660.714285714286
"671","2020-07-29",912,636.428571428571
"672","2020-07-28",756,606
"673","2020-07-27",529,572.857142857143
"674","2020-07-26",211,562.428571428571
"675","2020-07-25",543,557.857142857143
"676","2020-07-24",810,543.571428571429
"677","2020-07-23",694,502.571428571429
"678","2020-07-22",699,483
"679","2020-07-21",524,460.428571428571
"680","2020-07-20",456,452.428571428571
"681","2020-07-19",179,434.285714285714
"682","2020-07-18",443,427.428571428571
"683","2020-07-17",523,403.714285714286
"684","2020-07-16",557,389.714285714286
"685","2020-07-15",541,370.714285714286
"686","2020-07-14",468,357.714285714286
