"","date","name","code","Daily new hospital admissions","Daily people in MV beds","Daily people in hospital with coronavirus","Seven-day average hospital admissions","Seven-day average MV beds","Seven-day average hospital cases"
"394","2020-12-21","England","E92000001",2115,1327,17709,1853.42857142857,1219,16089.7142857143
"395","2020-12-20","England","E92000001",1976,1267,16633,1800.71428571429,1190.42857142857,15710.2857142857
"396","2020-12-19","England","E92000001",1812,1239,16183,1744.28571428571,1169.85714285714,15399.8571428571
"397","2020-12-18","England","E92000001",1672,1190,15866,1712.14285714286,1148.14285714286,15077.5714285714
"398","2020-12-17","England","E92000001",1873,1188,15741,1680.42857142857,1137.71428571429,14796.8571428571
"399","2020-12-16","England","E92000001",1796,1163,15465,1630.57142857143,1126.57142857143,14519
"400","2020-12-15","England","E92000001",1730,1159,15031,1595.42857142857,1116.71428571429,14233.5714285714
"401","2020-12-14","England","E92000001",1746,1127,15053,1566.57142857143,1110.85714285714,14033.2857142857
"402","2020-12-13","England","E92000001",1581,1123,14460,1526.57142857143,1108.28571428571,13828
"403","2020-12-12","England","E92000001",1587,1087,13927,1488,1103.14285714286,13646.4285714286
"404","2020-12-11","England","E92000001",1450,1117,13901,1430.71428571429,1103,13509.4285714286
"405","2020-12-10","England","E92000001",1524,1110,13796,1401.85714285714,1102.42857142857,13378.8571428571
"406","2020-12-09","England","E92000001",1550,1094,13467,1375.14285714286,1100.14285714286,13250.2857142857
"407","2020-12-08","England","E92000001",1528,1118,13629,1334,1108,13213.8571428571
"408","2020-12-07","England","E92000001",1466,1109,13616,1297.28571428571,1117.14285714286,13196.4285714286
"409","2020-12-06","England","E92000001",1311,1087,13189,1261.57142857143,1128,13216.4285714286
"410","2020-12-05","England","E92000001",1186,1086,12968,1247.85714285714,1146.14285714286,13263.8571428571
"411","2020-12-04","England","E92000001",1248,1113,12987,1230.57142857143,1163,13298.1428571429
"412","2020-12-03","England","E92000001",1337,1094,12896,1203,1181.42857142857,13407.7142857143
"413","2020-12-02","England","E92000001",1262,1149,13212,1183.14285714286,1205.71428571429,13552.2857142857
"414","2020-12-01","England","E92000001",1271,1182,13507,1205,1227.28571428571,13699.1428571429
"415","2020-11-30","England","E92000001",1216,1185,13756,1205.85714285714,1245,13841.8571428571
"416","2020-11-29","England","E92000001",1215,1214,13521,1230,1261.28571428571,13978.4285714286
"417","2020-11-28","England","E92000001",1065,1204,13208,1246.85714285714,1267.71428571429,14097.4285714286
"418","2020-11-27","England","E92000001",1055,1242,13754,1274,1274,14227.4285714286
"419","2020-11-26","England","E92000001",1198,1264,13908,1311.28571428571,1273.85714285714,14296.2857142857
"420","2020-11-25","England","E92000001",1415,1300,14240,1352.14285714286,1270.57142857143,14377.8571428571
"421","2020-11-24","England","E92000001",1277,1306,14506,1374.42857142857,1262.28571428571,14413.5714285714
"422","2020-11-23","England","E92000001",1385,1299,14712,1405,1251.14285714286,14400
"423","2020-11-22","England","E92000001",1333,1259,14354,1430,1236.71428571429,14343
"424","2020-11-21","England","E92000001",1255,1248,14118,1449.14285714286,1227.42857142857,14276.1428571429
"425","2020-11-20","England","E92000001",1316,1241,14236,1468.14285714286,1215.14285714286,14173.4285714286
"426","2020-11-19","England","E92000001",1484,1241,14479,1484.85714285714,1203.28571428571,14043.7142857143
"427","2020-11-18","England","E92000001",1571,1242,14490,1510.85714285714,1181.42857142857,13827.7142857143
"428","2020-11-17","England","E92000001",1491,1228,14411,1530.85714285714,1158.42857142857,13576.2857142857
"429","2020-11-16","England","E92000001",1560,1198,14313,1545.28571428571,1127.28571428571,13236.5714285714
"430","2020-11-15","England","E92000001",1467,1194,13886,1544,1105.85714285714,12943.1428571429
"431","2020-11-14","England","E92000001",1388,1162,13399,1547,1080.57142857143,12628
"432","2020-11-13","England","E92000001",1433,1158,13328,1537.14285714286,1057.85714285714,12358.7142857143
"433","2020-11-12","England","E92000001",1666,1088,12967,1501.28571428571,1033,12052
"434","2020-11-11","England","E92000001",1711,1081,12730,1455.57142857143,1018.42857142857,11770.1428571429
"435","2020-11-10","England","E92000001",1592,1010,12033,1408.57142857143,1006.42857142857,11528.2857142857
"436","2020-11-09","England","E92000001",1551,1048,12259,1359.14285714286,998.428571428571,11376.5714285714
"437","2020-11-08","England","E92000001",1488,1017,11680,1327.71428571429,974.857142857143,11110.5714285714
"438","2020-11-07","England","E92000001",1319,1003,11514,1298,944.428571428571,10816.7142857143
"439","2020-11-06","England","E92000001",1182,984,11181,1286.71428571429,917.714285714286,10569.2857142857
"440","2020-11-05","England","E92000001",1346,986,10994,1276.28571428571,891.571428571429,10299.8571428571
"441","2020-11-04","England","E92000001",1382,997,11037,1276.14285714286,865.428571428571,10033.1428571429
"442","2020-11-03","England","E92000001",1246,954,10971,1255.71428571429,835.571428571429,9752.14285714286
"443","2020-11-02","England","E92000001",1331,883,10397,1247.71428571429,805.428571428571,9412.71428571429
"444","2020-11-01","England","E92000001",1280,804,9623,1240.28571428571,776.714285714286,9049.71428571429
"445","2020-10-31","England","E92000001",1240,816,9782,1226.85714285714,756.571428571429,8762.42857142857
"446","2020-10-30","England","E92000001",1109,801,9295,1191.14285714286,730.285714285714,8390.14285714286
"447","2020-10-29","England","E92000001",1345,803,9127,1175.14285714286,701.857142857143,8039.71428571429
"448","2020-10-28","England","E92000001",1239,788,9070,1124,667.714285714286,7642.28571428571
"449","2020-10-27","England","E92000001",1190,743,8595,1089.42857142857,636.857142857143,7242.42857142857
